source_id	publisher	vintage	url	use	boundary
STATE-4FAM-080	U.S. Department of State	updated 2024-08-09	https://fam.state.gov/fam/04fam/04fam0080.html	obligation and disbursement accounting definitions	financial execution does not establish delivered output or outcome
STATE-18FAM-301-4	U.S. Department of State	updated 2024-12-26	https://fam.state.gov/fam/18fam/18fam030104.html	monitoring evaluation and data-quality boundary	performance evidence requires program-specific review and does not authorize operations
FA-GOV-COUNTRY-2026-07-30	ForeignAssistance.gov	FY2024 captured 2026-07-30	https://s3.amazonaws.com/files.explorer.devtechlab.com/us_foreign_aid_country.csv	country-file obligations and disbursements grouped to source regions	live data are revised; same-year transactions are not matched cohorts and do not establish outputs outcomes local incidence or savings
MCC-ANNUAL-REPORT-2025	Millennium Challenge Corporation	FY2025; published 2026-02-04	https://www.mcc.gov/resources/doc/annual-report-2025/	Nepal Compact amount contribution facilitation and assistance obligations expenditures contracts and schedule	FY2025 reported position is not a matched annual cohort; contracts are not completed outputs and projected benefits are not outcomes
MCC-NEPAL-COMPACT-PROGRAM	Millennium Challenge Corporation	financials as of 2025-06-30	https://www.mcc.gov/where-we-work/program/nepal-compact/	project budgets commitments expenditures physical scope local ownership and overlap statements	page snapshots differ from annual-report timing; beneficiaries and economic returns are projections and project cohorts overlap
MCC-NEPAL-ADDITIONAL-FUNDING-2025	Millennium Challenge Corporation	2025-01-02	https://www.mcc.gov/news-and-events/release/release-010225-nepal-compact-funding/	$50 million additional U.S. compact funding authority context	board approval and compact amendment context do not establish expenditure output outcome or savings
MCC-NEPAL-KPI-2026-Q11	Millennium Challenge Corporation	reported 2026-06-30; published 2026-07-07	https://assets.mcc.gov/content/uploads/nepal-compact-kpi.pdf	quarter 11 training road-design and pending electricity and municipal implementation indicators	KPI header retains the original $500M budget; pending is missingness; outputs do not establish completed works incidence safeguards diversion or durable outcomes
MCC-FY2026-MIDYEAR-BUSINESS-FORECAST	Millennium Challenge Corporation	FY2026 midyear	https://www.mcc.gov/resources/doc/report-business-forecast/	Nepal electricity and road project evaluation procurement status and value bands	forecast status establishes evaluation procurement readiness only; it does not establish a public design award completed evaluation incidence safeguards effect or savings
MCC-MONITORING-EVALUATION-POLICY	Millennium Challenge Corporation	current policy accessed 2026-07-30	https://www.mcc.gov/resources/doc/policy-for-monitoring-and-evaluation/	evaluation readiness fields and independent project-evaluation boundary	policy requirements define reopening evidence but do not prove that Nepal designs data collection or results are complete
MCA-NEPAL-ANNUAL-REPORT-2023-24	Millennium Challenge Account Nepal	FY2080/81 (2023/24); grievances through 2024-07	https://nepalindata.com/media/resources/items/0/bAnnual_Report_English.pdf	aggregate grievance mechanism intake appeal and status baseline	publisher report is preserved by a public archive; status categories leave five registered grievances unreconciled and do not establish current timeliness satisfaction subgroup incidence compliance or effect
MCC-FY2026-NEPAL-SUPPORT-READINESS	Millennium Challenge Corporation	2026-05-12	https://www.mcc.gov/resources/doc/report-business-forecast/	Nepal environmental social transportation and technical support procurement status	award and in-progress support actions establish capacity readiness only not safeguard performance completed works outcome or savings
